b'';b'rdf:type -> owl:NamedIndividual';b'rdf:type -> sto:Standard';b'rdf:type -> dby:Abstraction100002137';b'sto:publisher -> sto:IEC';b'sto:publisher -> sto:ISO';b'rdf:type -> dby:Measure100033615';b'rdf:type -> dby:Standard107260623';b'rdf:type -> dby:SystemOfMeasurement113577171';b'rdf:type -> sto:StandardOrganization';b'rdf:type -> owl:Thing';b'rdf:type -> owl:Class';b'rdf:type -> owl:AnnotationProperty';b'sto:hasClassification -> rami:ControlDevice';b'rdf:type -> dbo:Organisation';b'rdf:type -> dby:YagoPermanentlyLocatedEntity';b'rdf:type -> dby:Communication100033020';b'sto:hasClassification -> rami:FieldDevice';b'rdf:type -> dby:Group100031264';b'sto:hasClassification -> rami:Product';b'rdf:type -> dby:Message106598915'
sto:ASME;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:ISO_13584;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:BPMN;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sto:OPC_Foundation;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
rami:Product;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sto:SysML;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
sto:ETSI_DECT;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
sto:W3C_RIF;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0
sto:M2M;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
sto:IBM;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:MESA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
sto:IEC;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:ISO_9000;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:ModBus;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
sto:W3C;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:NIST;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
sto:ISO;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0
cc:attributionURL;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
sto:IEC_62714;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1
sto:eClass;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
sto:ISO_19440;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sto:ISO_50001;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:IEC_61131;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
sto:ETSI_ULE;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:ebXML;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1
sto:W3C_OWL;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1
sto:ETSI;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:ISO_PAS_17506;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1
sto:ANSI;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:QIF;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sto:W3C_RDF;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1
sto:SE;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:MTConnect;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:OASIS;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:IEC_61804;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
sto:IEC_61158;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:CAD;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
sto:IEC_62541;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1
sto:ISO_10303;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1
sto:OMG_DDS;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
sto:ISO_13374;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sto:ISO_20922;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
sto:ODVA;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
sto:ISA;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0
sto:IEC_81714;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
sto:IEC_61784;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
sto:BBF_TR-069;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1
sto:BPEL;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1
sto:OMG;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
sto:IEC_29182-1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
SUM;193;99;52;42;38;34;34;34;27;22;22;22;20;20;19;19;17;17;17;16
